,title,relative_link,date,filename
0,وكالة التصرف في النفايات تحدّد تاريخ الغلق النهائي لـ”مصب القنة”,https://essada.net/%d9%88%d9%83%d8%a7%d9%84%d8%a9-%d8%a7%d9%84%d8%aa%d8%b5%d8%b1%d9%81-%d9%81%d9%8a-%d8%a7%d9%84%d9%86%d9%81%d8%a7%d9%8a%d8%a7%d8%aa-%d8%aa%d8%ad%d8%af%d9%91%d8%af-%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae-%d8%a7.html,الجمعة 27 جمادى الآخرة 1441ﻫ 21-2-2020م,essada.net__001.txt
1,الحمامات: 10 تلاميذ من معهد “محمد بوذينة” يقتحمون المعهد النموذجي بنابل و يعتدون على التلاميذ,https://essada.net/%d8%a7%d9%84%d8%ad%d9%85%d8%a7%d9%85%d8%a7%d8%aa-10-%d8%aa%d9%84%d8%a7%d9%85%d9%8a%d8%b0-%d9%85%d9%86-%d9%85%d8%b9%d9%87%d8%af-%d9%85%d8%ad%d9%85%d8%af-%d8%a8%d9%88%d8%b0%d9%8a%d9%86%d8%a9-%d9%8a.html,الجمعة 27 جمادى الآخرة 1441ﻫ 21-2-2020م,essada.net__002.txt
2,القيروان: حامل تحاول الإنتحار حرقا..التفاصيل,https://essada.net/%d8%a7%d9%84%d9%82%d9%8a%d8%b1%d9%88%d8%a7%d9%86-%d8%ad%d8%a7%d9%85%d9%84-%d8%aa%d8%ad%d8%a7%d9%88%d9%84-%d8%a7%d9%84%d8%a5%d9%86%d8%aa%d8%ad%d8%a7%d8%b1-%d8%ad%d8%b1%d9%82%d8%a7-%d8%a7%d9%84%d8%aa.html,الخميس 26 جمادى الآخرة 1441ﻫ 20-2-2020م,essada.net__003.txt
3,دوريات أمنية مزيفة و إطلاق نار صوب سيارات لسلب أصحابها,https://essada.net/%d8%af%d9%88%d8%b1%d9%8a%d8%a7%d8%aa-%d8%a3%d9%85%d9%86%d9%8a%d8%a9-%d9%85%d8%b2%d9%8a%d9%81%d8%a9-%d9%88-%d8%a5%d8%b7%d9%84%d8%a7%d9%82-%d9%86%d8%a7%d8%b1-%d8%b5%d9%88%d8%a8-%d8%b3%d9%8a%d8%a7%d8%b1.html,الخميس 26 جمادى الآخرة 1441ﻫ 20-2-2020م,essada.net__004.txt
4,فلاّح يستدرج تلاميذ بمقابل مادي للعمل في شبكات دعارة ..و صور للإبتزاز,https://essada.net/%d9%81%d9%84%d8%a7%d9%91%d8%ad-%d9%8a%d8%b3%d8%aa%d8%af%d8%b1%d8%ac-%d8%aa%d9%84%d8%a7%d9%85%d9%8a%d8%b0-%d8%a8%d9%85%d9%82%d8%a7%d8%a8%d9%84-%d9%85%d8%a7%d8%af%d9%8a-%d9%84%d9%84%d8%b9%d9%85%d9%84.html,الخميس 26 جمادى الآخرة 1441ﻫ 20-2-2020م,essada.net__005.txt
5,القيروان: انفجار قنبلة يدوية في يد شاب وإصابته إصابات بليغة,https://essada.net/%d8%a7%d9%84%d9%82%d9%8a%d8%b1%d9%88%d8%a7%d9%86-%d8%a7%d9%86%d9%81%d8%ac%d8%a7%d8%b1-%d9%82%d9%86%d8%a8%d9%84%d8%a9-%d9%8a%d8%af%d9%88%d9%8a%d8%a9-%d9%81%d9%8a-%d9%8a%d8%af-%d8%b4%d8%a7%d8%a8-%d9%88.html,الخميس 26 جمادى الآخرة 1441ﻫ 20-2-2020م,essada.net__006.txt
6,اتحاد الشغل بتطاوين يقرّر تأجيل الإضراب العام في قطاع النفط,https://essada.net/%d8%a7%d8%aa%d8%ad%d8%a7%d8%af-%d8%a7%d9%84%d8%b4%d8%ba%d9%84-%d8%a8%d8%aa%d8%b7%d8%a7%d9%88%d9%8a%d9%86-%d9%8a%d9%82%d8%b1%d9%91%d8%b1-%d8%aa%d8%a3%d8%ac%d9%8a%d9%84-%d8%a7%d9%84%d8%a5%d8%b6%d8%b1.html,الخميس 26 جمادى الآخرة 1441ﻫ 20-2-2020م,essada.net__007.txt
7,زغوان: إيقاف 3 أشخاص بتهمة خيانة مؤتمن,https://essada.net/%d8%b2%d8%ba%d9%88%d8%a7%d9%86-%d8%a5%d9%8a%d9%82%d8%a7%d9%81-3-%d8%a3%d8%b4%d8%ae%d8%a7%d8%b5-%d8%a8%d8%aa%d9%87%d9%85%d8%a9-%d8%ae%d9%8a%d8%a7%d9%86%d8%a9-%d9%85%d8%a4%d8%aa%d9%85%d9%86.html,الخميس 26 جمادى الآخرة 1441ﻫ 20-2-2020م,essada.net__008.txt
8,فريق صحي قار بالمعبر الحدودي بحيدرة و آخر ببوشبكة تحسبا لتسرب “كورونا”,https://essada.net/%d9%81%d8%b1%d9%8a%d9%82-%d8%b5%d8%ad%d9%8a-%d9%82%d8%a7%d8%b1-%d8%a8%d8%a7%d9%84%d9%85%d8%b9%d8%a8%d8%b1-%d8%a7%d9%84%d8%ad%d8%af%d9%88%d8%af%d9%8a-%d8%a8%d8%ad%d9%8a%d8%af%d8%b1%d8%a9-%d9%88-%d8%a2.html,الخميس 26 جمادى الآخرة 1441ﻫ 20-2-2020م,essada.net__009.txt
9,القيروان: إمراة حامل و أم لطفلين تضرم النار فى جسدها,https://essada.net/%d8%a7%d9%84%d9%82%d9%8a%d8%b1%d9%88%d8%a7%d9%86-%d8%a5%d9%85%d8%b1%d8%a7%d8%a9-%d8%ad%d8%a7%d9%85%d9%84-%d9%88-%d8%a3%d9%85-%d9%84%d8%b7%d9%81%d9%84%d9%8a%d9%86-%d8%aa%d8%b6%d8%b1%d9%85-%d8%a7%d9%84.html,الخميس 26 جمادى الآخرة 1441ﻫ 20-2-2020م,essada.net__010.txt
